SS,SR,visc,rpm,temp,pressure
4.241,3.6,0.85,1,25,40.0
6.699,3.85,0.575,1.58,25,40.0
10.58,5.18,0.489,2.49,25,40.0
16.71,6.69,0.401,3.94,25,40.0
26.39,6.8,0.258,6.22,25,40.0
41.68,6.79,0.163,9.83,25,40.0
65.84,6.98,0.106,15.5,25,40.0
104,7.53,0.0724,24.5,25,40.0
164.3,7.82,0.0476,38.7,25,40.0
259.7,8.68,0.0334,61.2,25,40.0
410.8,9.65,0.0235,96.8,25,40.0
650.8,11.5,0.0176,153,25,40.0
1032,15.5,0.015,243,25,40.0
4.241,3.84,0.905,1,30,40.0
6.699,3.6,0.537,1.58,30,40.0
10.58,4.62,0.437,2.49,30,40.0
16.71,6.52,0.39,3.94,30,40.0
26.39,7.11,0.27,6.22,30,40.0
41.68,7.08,0.17,9.83,30,40.0
65.84,7.23,0.11,15.5,30,40.0
104,7.5,0.0721,24.5,30,40.0
164.3,7.89,0.048,38.7,30,40.0
259.8,8.63,0.0332,61.2,30,40.0
410.9,9.62,0.0234,96.9,30,40.0
650.9,11.2,0.0172,153,30,40.0
1032,14.9,0.0145,243,30,40.0
4.241,3.83,0.903,1,40,40.0
6.699,3.46,0.516,1.58,40,40.0
10.58,4.1,0.388,2.49,40,40.0
16.71,5.59,0.335,3.94,40,40.0
26.39,7.62,0.289,6.22,40,40.0
41.68,7.91,0.19,9.83,40,40.0
65.84,8.04,0.122,15.5,40,40.0
104,8.11,0.078,24.5,40,40.0
164.3,8.39,0.0511,38.7,40,40.0
259.8,8.99,0.0346,61.2,40,40.0
410.9,9.95,0.0242,96.9,40,40.0
650.9,11.2,0.0173,153,40,40.0
1032,15,0.0145,243,40,40.0
4.242,3.89,0.917,1,50,40.0
6.699,3.49,0.521,1.58,50,40.0
10.58,3.82,0.361,2.49,50,40.0
16.71,4.69,0.281,3.94,50,40.0
26.39,6.53,0.247,6.22,50,40.0
41.68,9,0.216,9.83,50,40.0
65.84,9.06,0.138,15.5,50,40.0
104,9.17,0.0882,24.5,50,40.0
164.3,9.29,0.0566,38.7,50,40.0
259.7,9.67,0.0372,61.2,50,40.0
410.8,10.5,0.0255,96.8,50,40.0
650.8,11.7,0.018,153,50,40.0
1032,14.9,0.0144,243,50,40.0
4.241,4.62,1.09,1,60,40.0
6.699,3.74,0.558,1.58,60,40.0
10.58,4.02,0.38,2.49,60,40.0
16.71,4.4,0.263,3.94,60,40.0
26.39,5.71,0.216,6.22,60,40.0
41.68,7.94,0.191,9.83,60,40.0
65.83,10.2,0.155,15.5,60,40.0
104,10.3,0.0994,24.5,60,40.0
164.3,10.4,0.0631,38.7,60,40.0
259.7,10.7,0.0412,61.2,60,40.0
410.8,11.3,0.0276,96.8,60,40.0
650.7,12.4,0.0191,153,60,40.0
1032,15.6,0.0151,243,60,40.0
4.241,5.05,1.19,1,70,40.0
6.699,4.38,0.654,1.58,70,40.0
10.58,4.49,0.424,2.49,70,40.0
16.71,4.51,0.27,3.94,70,40.0
26.39,5.27,0.2,6.22,70,40.0
41.68,7.07,0.17,9.83,70,40.0
65.82,9.84,0.149,15.5,70,40.0
104,11.9,0.114,24.5,70,40.0
164.3,11.9,0.0727,38.7,70,40.0
259.7,12.2,0.047,61.2,70,40.0
410.7,12.6,0.0307,96.8,70,40.0
650.5,13.8,0.0212,153,70,40.0
1032,16.5,0.016,243,70,40.0
4.242,5.68,1.34,1,80,40.0
6.699,5.19,0.775,1.58,80,40.0
10.58,5.42,0.512,2.49,80,40.0
16.71,5.37,0.322,3.94,80,40.0
26.39,5.48,0.208,6.22,80,40.0
41.68,6.36,0.152,9.83,80,40.0
65.83,8.74,0.133,15.5,80,40.0
104,12.5,0.12,24.5,80,40.0
164.3,13.9,0.0845,38.7,80,40.0
259.6,14,0.0539,61.2,80,40.0
410.6,14.5,0.0352,96.8,80,40.0
650.3,15.5,0.0239,153,80,40.0
1031,18.4,0.0178,243,80,40.0
